feature,importance
GCS_last,0.03754385242625138
GCS_mean,0.025422396749992318
BUN_mean,0.019468811490344688
BUN_min,0.019069467217980498
GCS_slope,0.018162182112779337
GCS_max,0.017102387411433533
Urine_mean,0.015239480052345001
BUN_max,0.014517634662166263
BUN_last,0.01428390638753439
Lactate_last,0.010511961638302017
Urine_std,0.010425867848576931
PaCO2_mean,0.009899493851702447
Urine_max,0.009449549803769587
PaO2_slope,0.009408369847240054
Age_static,0.009251624525456895
GCS_std,0.008545861670144199
Creatinine_mean,0.007440270218257391
Temp_mean,0.007195872470464681
Na_slope,0.007065261653448359
Temp_last,0.007020374209936506
Urine_last,0.006980419082346229
HCO3_mean,0.006855976737438084
HCO3_slope,0.006478170280067998
HR_max,0.006364313935071972
HR_mean,0.006325241222599448
Lactate_min,0.006320447378840676
Glucose_mean,0.0063095177046093515
Mg_slope,0.0061352665192769
Platelets_slope,0.00612177353887367
Glucose_last,0.006117483460725922
HR_last,0.00610947427806379
HR_std,0.006063766416564444
Glucose_std,0.006017413137714117
Weight_static,0.005987232029522032
HR_slope,0.0059437337647109565
Creatinine_min,0.005924744272590698
Glucose_max,0.005816707730519621
HCO3_last,0.005812080130682035
WBC_slope,0.005777471617262697
ALP_max,0.005707431502042557
FiO2_slope,0.005636742399383197
Urine_slope,0.005512550057061508
HCO3_min,0.0055001640792798415
Glucose_slope,0.00547693534073695
Temp_max,0.0054476334707191714
NISysABP_last,0.0054382479319931825
Temp_slope,0.005334288577158815
WBC_min,0.005286527981440076
PaO2_mean,0.005260339158739686
WBC_last,0.00521107473323054
Platelets_std,0.005177007897914462
FiO2_mean,0.005119101410449052
PaCO2_last,0.005070210445178274
Creatinine_last,0.005049357205573193
NISysABP_min,0.005048013964523027
ALP_last,0.005043036062433971
Temp_min,0.0050384030417405315
NIMAP_last,0.005020899248106372
Platelets_mean,0.005004341355577654
Platelets_last,0.0049820967811942144
ALP_min,0.004916445177420207
BUN_std,0.004862931213239324
ALP_mean,0.0048587628905983945
NIDiasABP_mean,0.0048473171446033825
Lactate_mean,0.004783357098276456
Weight_ts_slope,0.004781074365966352
BUN_slope,0.0047596573654504985
WBC_mean,0.00475886045678551
HCT_slope,0.004751594936207936
PaO2_std,0.004702159015643904
K_mean,0.004693324284788351
SysABP_mean,0.004683977486115823
HCT_max,0.004636493289231092
Albumin_mean,0.00463050072162044
Platelets_min,0.0046178323396756345
Temp_std,0.004613692227698574
NIMAP_std,0.0045436864959111384
PaCO2_max,0.004519159005498478
pH_mean,0.0044992562316785506
Mg_std,0.004470516289467613
Creatinine_slope,0.00445739970595355
NISysABP_mean,0.004456149038078682
PaO2_max,0.004448208025099954
FiO2_std,0.004420377379911635
NIMAP_min,0.004418110998531076
NIDiasABP_std,0.004412888694382632
Weight_ts_last,0.0044114553910555845
NIDiasABP_slope,0.0043269269358057446
NISysABP_std,0.004325567638248435
HR_min,0.004310731040168276
Platelets_max,0.004300153502552834
Weight_ts_mean,0.004290351096988294
Creatinine_max,0.004275184124882495
Bilirubin_max,0.004238353064198793
WBC_max,0.004234023995297658
Weight_ts_std,0.004209597352666232
PaO2_min,0.004175076658992523
K_slope,0.004149658733362494
HCT_std,0.004115816614813293
HCT_min,0.004109218179163348
Bilirubin_last,0.00410297193887328
WBC_std,0.004101602889897472
NISysABP_max,0.004099616457524746
Urine_min,0.004070405831030907
pH_slope,0.004060746571740071
Na_std,0.0040234404766913805
Weight_ts_max,0.004016847931313877
Glucose_min,0.004014979347571448
MAP_std,0.003985773932370631
Na_mean,0.003963861835446218
K_std,0.0039580724028768985
K_min,0.003932488737537374
Albumin_min,0.003901877356099699
PaCO2_slope,0.003869224740306169
HCT_mean,0.0038672017512827554
Bilirubin_min,0.003864618836340638
HCT_last,0.0038605498082545505
PaCO2_min,0.003808733577133932
NIMAP_max,0.0038023497734196014
NIDiasABP_last,0.0037818812978756577
HCO3_max,0.0037817843637401637
NIMAP_mean,0.0037814745954252373
pH_last,0.0037788771784456063
NIDiasABP_min,0.0037442027541391113
PaO2_last,0.003731558450734645
Creatinine_std,0.00370663118685467
RespRate_std,0.003678262184627999
PaCO2_std,0.0036461798903715576
Mg_mean,0.003631827694890303
Bilirubin_mean,0.003631468186695669
GCS_min,0.003619958795322468
Na_last,0.0036030589499786245
Albumin_last,0.003595128405222142
NISysABP_slope,0.0035946185589191314
NIMAP_slope,0.003568670573809909
Weight_ts_min,0.0035245743485264303
Lactate_slope,0.0035219201236495585
SysABP_min,0.0035014852214358396
SysABP_last,0.0034508418050246603
NIDiasABP_max,0.0033840752370186615
Albumin_max,0.003383266517921362
HCO3_std,0.0033184745582585037
Lactate_max,0.0033118759635857166
Na_min,0.0032886202105274617
pH_std,0.0032881749849742016
SysABP_max,0.0032808428978780223
MAP_slope,0.0032778100639732164
pH_min,0.003245134278517119
DiasABP_std,0.003216327929162154
K_last,0.0031342399941047473
DiasABP_slope,0.003094653641476009
Na_max,0.0030722661503542474
ICUType_static,0.0030222514815980363
RespRate_mean,0.0029971949207762655
SysABP_slope,0.002996013543539813
MAP_min,0.002993670359586637
pH_max,0.0029456002000811587
SysABP_std,0.00293544127027232
K_max,0.0028991049917921367
RespRate_slope,0.0028627626814305205
ALT_min,0.0028075762442346295
DiasABP_last,0.002801899680999192
MAP_max,0.0026892997189829934
DiasABP_mean,0.0026779669189908426
Mg_max,0.0026726160203164374
DiasABP_max,0.002638395415792546
Mg_min,0.0025610998855055632
DiasABP_min,0.0025012297730573254
MAP_mean,0.0024680101234269614
ALT_last,0.002467188692984679
RespRate_max,0.0024443415278066023
SaO2_mean,0.0024299222534076037
AST_last,0.002404986772542025
AST_min,0.0023960925606747474
Mg_last,0.00235207264989056
MAP_last,0.00233095652689724
AST_max,0.0023211516872084603
